customer_id,first_name,last_name,email,city,state,country,region,acquisition_channel,first_order_date
1,Omar,Jackson,omar.jackson1@example.com,San Diego,CA,USA,West,Paid Social,2024-10-27
2,Emma,Diaz,emma.diaz2@example.com,Cleveland,OH,USA,Midwest,Organic Search,2023-08-05
3,Ahmed,Zhang,ahmed.zhang3@example.com,Philadelphia,PA,USA,Northeast,Paid Social,2024-09-27
4,Mark,Patel,mark.patel4@example.com,San Jose,CA,USA,West,Organic Search,2026-07-20
5,Mia,Gonzalez,mia.gonzalez5@example.com,Minneapolis,MN,USA,Midwest,Paid Social,2026-08-14
6,Priya,Miller,priya.miller6@example.com,Austin,TX,USA,South,Organic Search,2023-12-22
7,Elizabeth,Lopez,elizabeth.lopez7@example.com,Melbourne,VIC,Australia,International,Paid Social,2026-02-28
8,Liam,Torres,liam.torres8@example.com,Vancouver,BC,Canada,International,Direct,2026-07-03
9,Wei,Martinez,wei.martinez9@example.com,Sacramento,CA,USA,West,Organic Search,2025-06-24
10,Vikram,Kim,vikram.kim10@example.com,Houston,TX,USA,South,Paid Social,2023-06-01
11,Liam,Williams,liam.williams11@example.com,Houston,TX,USA,South,Paid Social,2024-08-10
12,Barbara,Nguyen,barbara.nguyen12@example.com,Manchester,,UK,International,Paid Social,2025-08-05
13,Jennifer,Rao,jennifer.rao13@example.com,Vancouver,BC,Canada,International,Direct,2024-10-20
14,Ethan,Martinez,ethan.martinez14@example.com,Houston,TX,USA,South,Paid Social,2024-12-04
15,William,Li,william.li15@example.com,Columbus,OH,USA,Midwest,Organic Search,2025-06-15
16,Amelia,Zhang,amelia.zhang16@example.com,Sydney,NSW,Australia,International,Organic Search,2025-02-02
17,Luis,Nair,luis.nair17@example.com,Miami,FL,USA,South,Direct,2023-04-18
18,Jin,Jones,jin.jones18@example.com,Miami,FL,USA,South,Organic Search,2025-03-02
19,Karen,Patel,karen.patel19@example.com,Philadelphia,PA,USA,Northeast,Direct,2023-10-17
20,Amit,Wright,amit.wright20@example.com,Orlando,FL,USA,South,Organic Search,2023-06-23
21,Ana,Wright,ana.wright21@example.com,Miami,FL,USA,South,Email Marketing,2025-12-14
22,Elena,Li,elena.li22@example.com,Cleveland,OH,USA,Midwest,Organic Search,2024-09-24
23,Margaret,Patel,margaret.patel23@example.com,Baltimore,MD,USA,Northeast,Organic Search,2023-10-09
24,Rajesh,Miller,rajesh.miller24@example.com,Milwaukee,WI,USA,Midwest,Direct,2025-12-14
